keyword,repo,file,url
"filename:README.md ""Universitas Indonesia"" in:file",cloudnative-id/meetups,bandung/README.md,https://github.com/cloudnative-id/meetups/blob/bf2af4e213b4156812691eed64653b00b4351a97/bandung/README.md
"filename:README.md ""Universitas Indonesia"" in:file",ivanrbnc/DDP1_Archive_Lab_TP,readme.md,https://github.com/ivanrbnc/DDP1_Archive_Lab_TP/blob/9af06491674067089584dc807aeb5f8269973d9d/readme.md
"filename:README.md ""Universitas Indonesia"" in:file",ir-nlp-csui/aksara,README.md,https://github.com/ir-nlp-csui/aksara/blob/5ff34f2468561f849a4cf883619681a3369c659c/README.md
"filename:README.md ""Universitas Indonesia"" in:file",helloproclub/awesome-competition,README.md,https://github.com/helloproclub/awesome-competition/blob/ccb120a0258a6553cb3ec178b39d0e9b3f9da977/README.md
"filename:README.md ""Universitas Indonesia"" in:file",hesahesa/xts-aes-java,README.md,https://github.com/hesahesa/xts-aes-java/blob/c7732c6b81c43e0a9aaa12dd29cafeda380ccb29/README.md
"filename:README.md ""Universitas Indonesia"" in:file",Quanta2018/DDP0Quanta,README.md,https://github.com/Quanta2018/DDP0Quanta/blob/8c6ffafa07beb067ef63d24a55592a7fe40e2463/README.md
"filename:README.md ""Universitas Indonesia"" in:file",MonAPI-xyz/MonAPI,README.md,https://github.com/MonAPI-xyz/MonAPI/blob/efeefe7989322ded686bf4a1c1a609ffee6e7a16/README.md
"filename:README.md ""Universitas Indonesia"" in:file",aabccd021/legal-kg,paper/README.md,https://github.com/aabccd021/legal-kg/blob/53dfc1e6639f3072d92061991bb1e8ed827c3f53/paper/README.md
"filename:README.md ""Universitas Indonesia"" in:file",alhudareza4/chaotic-image-encryption,README.md,https://github.com/alhudareza4/chaotic-image-encryption/blob/e818a4d8654d384610a63a27776e452a6279fc51/README.md
"filename:README.md ""Universitas Indonesia"" in:file",pomadgw/PPLA3,README.md,https://github.com/pomadgw/PPLA3/blob/98a9855b09f1d155640e2b959ff4aca18c354fd8/README.md
"filename:README.md ""Universitas Indonesia"" in:file",Corfliss/cs-courses-notes,README.md,https://github.com/Corfliss/cs-courses-notes/blob/dcb5dca5b2c934ceb75187197485169c3a824143/README.md
"filename:README.md ""Universitas Indonesia"" in:file",haryoa/indo-collex,README.md,https://github.com/haryoa/indo-collex/blob/df626e812cd5924794fabf40003368a69f4e953c/README.md
"filename:README.md ""Universitas Indonesia"" in:file",ctfcompfest/compfest13-final,README.md,https://github.com/ctfcompfest/compfest13-final/blob/6a124784990632f25aee576e57958ac917ac0210/README.md
"filename:README.md ""Universitas Indonesia"" in:file",anakpacil/kodoru,README.md,https://github.com/anakpacil/kodoru/blob/f138ae27ef68c582cfba8ac37af291d380a0a4d3/README.md
"filename:README.md ""Universitas Indonesia"" in:file",anvie/indobert-embedding,README.md,https://github.com/anvie/indobert-embedding/blob/7e7c2faddfc133eaf5d518d62058e5a951993f15/README.md
"filename:README.md ""Universitas Indonesia"" in:file",amuritna/belajar-ngoding-bhs-indo,README.md,https://github.com/amuritna/belajar-ngoding-bhs-indo/blob/0f58f1a3abffffc2458314002ba29e9ab5df3925/README.md
"filename:README.md ""Universitas Indonesia"" in:file",aslab-math-ui/modul-prak,README.md,https://github.com/aslab-math-ui/modul-prak/blob/fef994a0beb5c5a661a07db7c5a7fe67ee2cb341/README.md
"filename:README.md ""Universitas Indonesia"" in:file",jodiprayogo/carasa,README.md,https://github.com/jodiprayogo/carasa/blob/ff2ee2ecfb5677274839e4ca0976c3ac1a9c9897/README.md
"extension:ipynb ""University of Indonesia"" in:file",yohanesnuwara/python-bootcamp-for-geoengineers,petroweek_notebooks/petroweek2020_unit1.ipynb,https://github.com/yohanesnuwara/python-bootcamp-for-geoengineers/blob/2533b816e62517f53c36d2c38d7b738884b4471c/petroweek_notebooks/petroweek2020_unit1.ipynb
"extension:ipynb ""University of Indonesia"" in:file",fathanick/NLP-Course-UII,Data Collection/get_wikipedia_data.ipynb,https://github.com/fathanick/NLP-Course-UII/blob/e8028ee410a748d37fef8fb0ff007be9013bc4ce/Data%20Collection/get_wikipedia_data.ipynb
